,condition,elevation,humidity,latitude,location,longitude,pressure,temperature,time
99,Rain,27.07,0.9,-33.87,Sydney,151.21,1003.04,22.3,1453996800
100,Sunny,27.07,0.89,-33.87,Sydney,151.21,1001.81,22.19,1454000400
101,Sunny,27.07,0.92,-33.87,Sydney,151.21,1001.7,21.63,1454004000
102,Rain,27.07,0.91,-33.87,Sydney,151.21,1002.14,21.81,1454007600
103,Sunny,27.07,0.91,-33.87,Sydney,151.21,1002.57,22.3,1454011200
104,Sunny,27.07,0.78,-33.87,Sydney,151.21,1003.32,24.86,1454014800
105,Rain,27.07,0.75,-33.87,Sydney,151.21,1003.39,25.54,1454018400
106,Sunny,27.07,0.68,-33.87,Sydney,151.21,1003.07,26.93,1454022000
107,Sunny,27.07,0.59,-33.87,Sydney,151.21,1002.86,26.89,1454025600
108,Rain,27.07,0.63,-33.87,Sydney,151.21,1001.88,26.76,1454029200
109,Sunny,27.07,0.73,-33.87,Sydney,151.21,1001.66,25.07,1454032800
110,Sunny,27.07,0.84,-33.87,Sydney,151.21,1003.54,22.4,1454036400
111,Rain,27.07,0.81,-33.87,Sydney,151.21,1001.87,23.92,1454040000
112,Sunny,27.07,0.68,-33.87,Sydney,151.21,1000.81,25.61,1454043600
113,Sunny,27.07,0.65,-33.87,Sydney,151.21,1000.78,26.29,1454047200
114,Rain,27.07,0.69,-33.87,Sydney,151.21,1001.05,25.78,1454050800
115,Sunny,27.07,0.78,-33.87,Sydney,151.21,1000.85,24.62,1454054400
116,Sunny,27.07,0.81,-33.87,Sydney,151.21,1001.4,24.72,1454058000
117,Rain,27.07,0.86,-33.87,Sydney,151.21,1002.1,24.04,1454061600
118,Sunny,27.07,0.85,-33.87,Sydney,151.21,1002.38,24.0,1454065200
119,Sunny,27.07,0.78,-33.87,Sydney,151.21,1003.38,21.71,1454068800
120,Rain,27.07,0.72,-33.87,Sydney,151.21,1015.47,20.46,1454590800
121,Sunny,27.07,0.74,-33.87,Sydney,151.21,1015.25,20.01,1454594400
122,Rain,27.07,0.66,-33.87,Sydney,151.21,1013.96,20.28,1454598000
123,Rain,27.07,0.66,-33.87,Sydney,151.21,1014.4,20.27,1454601600
124,Sunny,27.07,0.63,-33.87,Sydney,151.21,1014.07,20.29,1454605200
125,Rain,27.07,0.6,-33.87,Sydney,151.21,1013.46,21.07,1454608800
126,Rain,27.07,0.62,-33.87,Sydney,151.21,1014.77,20.48,1454612400
127,Sunny,27.07,0.65,-33.87,Sydney,151.21,1015.76,20.24,1454616000
128,Rain,27.07,0.56,-33.87,Sydney,151.21,1015.52,22.11,1454619600
129,Rain,27.07,0.61,-33.87,Sydney,151.21,1017.21,21.37,1454623200
130,Sunny,27.07,0.61,-33.87,Sydney,151.21,1017.57,21.55,1454626800
131,Rain,27.07,0.56,-33.87,Sydney,151.21,1016.8,23.31,1454630400
132,Rain,27.07,0.55,-33.87,Sydney,151.21,1017.7,23.41,1454634000
133,Sunny,27.07,0.54,-33.87,Sydney,151.21,1017.61,24.53,1454637600
134,Rain,27.07,0.58,-33.87,Sydney,151.21,1016.58,23.79,1454641200
135,Rain,27.07,0.57,-33.87,Sydney,151.21,1017.29,23.87,1454644800
136,Sunny,27.07,0.56,-33.87,Sydney,151.21,1016.99,24.01,1454648400
137,Sunny,27.07,0.58,-33.87,Sydney,151.21,1015.78,23.49,1454652000
138,Rain,27.07,0.56,-33.87,Sydney,151.21,1016.8,23.12,1454655600
139,Sunny,27.07,0.57,-33.87,Sydney,151.21,1017.11,22.49,1454659200
140,Sunny,27.07,0.62,-33.87,Sydney,151.21,1016.64,22.22,1454662800
141,Rain,27.07,0.63,-33.87,Sydney,151.21,1018.06,21.77,1454666400
142,Sunny,27.07,0.65,-33.87,Sydney,151.21,1018.37,21.43,1454670000
143,Sunny,27.07,0.74,-33.87,Sydney,151.21,1017.56,20.4,1454673600
144,Rain,27.07,0.76,-33.87,Sydney,151.21,1015.86,23.19,1455195600
145,Sunny,27.07,0.78,-33.87,Sydney,151.21,1015.49,22.88,1455199200
146,Sunny,27.07,0.81,-33.87,Sydney,151.21,1014.68,22.3,1455202800
147,Rain,27.07,0.82,-33.87,Sydney,151.21,1014.89,22.03,1455206400
148,Sunny,27.07,0.82,-33.87,Sydney,151.21,1014.74,21.77,1455210000
149,Sunny,27.07,0.86,-33.87,Sydney,151.21,1014.28,20.97,1455213600
150,Sunny,27.07,0.89,-33.87,Sydney,151.21,1015.18,20.65,1455217200
151,Sunny,27.07,0.89,-33.87,Sydney,151.21,1015.76,20.77,1455220800
152,Sunny,27.07,0.72,-33.87,Sydney,151.21,1016.06,23.41,1455224400
153,Sunny,27.07,0.66,-33.87,Sydney,151.21,1016.89,25.04,1455228000
154,Sunny,27.07,0.57,-33.87,Sydney,151.21,1016.95,26.58,1455231600
155,Sunny,27.07,0.55,-33.87,Sydney,151.21,1016.22,27.22,1455235200
156,Rain,27.07,0.52,-33.87,Sydney,151.21,1016.17,28.09,1455238800
157,Sunny,27.07,0.53,-33.87,Sydney,151.21,1015.6,28.04,1455242400
158,Sunny,27.07,0.49,-33.87,Sydney,151.21,1014.58,28.81,1455246000
159,Rain,27.07,0.53,-33.87,Sydney,151.21,1014.74,28.24,1455249600
160,Sunny,27.07,0.54,-33.87,Sydney,151.21,1014.15,28.16,1455253200
161,Sunny,27.07,0.51,-33.87,Sydney,151.21,1013.1,28.51,1455256800
162,Sunny,27.07,0.61,-33.87,Sydney,151.21,1013.73,26.71,1455260400
163,Sunny,27.07,0.66,-33.87,Sydney,151.21,1014.07,25.57,1455264000
164,Sunny,27.07,0.66,-33.87,Sydney,151.21,1014.3,25.08,1455267600
165,Sunny,27.07,0.73,-33.87,Sydney,151.21,1014.94,24.07,1455271200
166,Sunny,27.07,0.74,-33.87,Sydney,151.21,1015.54,23.84,1455274800
167,Sunny,27.07,0.71,-33.87,Sydney,151.21,1014.86,23.51,1455278400
168,Rain,27.07,0.72,-33.87,Sydney,151.21,1011.39,22.03,1455800400
169,Sunny,27.07,0.74,-33.87,Sydney,151.21,1009.45,22.07,1455804000
170,Sunny,27.07,0.71,-33.87,Sydney,151.21,,22.38,1455807600
171,Sunny,27.07,0.68,-33.87,Sydney,151.21,,22.22,1455811200
172,Sunny,27.07,0.72,-33.87,Sydney,151.21,1008.5,21.86,1455814800
173,Sunny,27.07,0.77,-33.87,Sydney,151.21,1008.5,21.27,1455818400
174,Rain,27.07,0.8,-33.87,Sydney,151.21,1011.3,19.26,1455822000
175,Sunny,27.07,0.82,-33.87,Sydney,151.21,1011.57,20.59,1455825600
176,Sunny,27.07,0.64,-33.87,Sydney,151.21,1011.94,24.7,1455829200
177,Sunny,27.07,0.69,-33.87,Sydney,151.21,1012.32,24.36,1455832800
178,Sunny,27.07,0.64,-33.87,Sydney,151.21,1012.25,26.68,1455836400
179,Sunny,27.07,0.48,-33.87,Sydney,151.21,1011.7,29.9,1455840000
